nama;tanggal;ulasan;rating;sumber;Unnamed: 5;sentimen
Must Tain;29/07/2025 04:38;Sangat membantu untuk daerah yg tidak dan kurang terjangkau oleh sinyal Telkom maupun Indosat;5;Google Play Store;;Negatif
Dhifa;29/07/2025 01:34;LUARBIASA;5;Google Play Store;;Negatif
Berly Raymond;28/07/2025 21:24;keren memang;5;Google Play Store;;Netral
Gazali Aghil;28/07/2025 12:34;luar biasa;5;Google Play Store;;Negatif
yohan Ocen;28/07/2025 06:04;mantap;5;Google Play Store;;Netral
Sofia Zy;27/07/2025 14:48;aplikasi sangat bagus;5;Google Play Store;;Positif
Nani Yuningsih;27/07/2025 05:47;saya baru berapa hari kok tidak ada internetnya ya semoga bisa kembali lagi internet nya;5;Google Play Store;;Negatif
Mursid 85;27/07/2025 05:10;Oke👍;5;Google Play Store;;Netral
Andil Muhammad;27/07/2025 01:05;👍👍👍;5;Google Play Store;;Netral
Welius Wetipo;26/07/2025 11:33;Mau belajar;5;Google Play Store;;Netral
vitz Kidal;26/07/2025 01:59;sangat membantu cuman hanya kecepatan ngunggah nya kecil tapi masih aman 🙏🙏🙏🙏starlink;5;Google Play Store;;Positif
Anwar Djaya;25/07/2025 19:10;baik;4;Google Play Store;;Positif
Rojer Laimeheriwa;25/07/2025 17:05;OKE;5;Google Play Store;;Netral
Rahmat Ferdian;25/07/2025 13:23;good;5;Google Play Store;;Netral
Amal “Halid” Hasan;24/07/2025 23:07;Aplikasinya mobile nya sangat buruk, terutama pada sistem login nya. untuk login mesti bolak balik aplikasi dan web browser, setelah berhasil login, selalu diarahkan untuk buka di aplikasi, tapi lebih banyak gagal nya. Alasan cookies lah, blokir pop-up lah, capcha yg gagal tampil kah, dll. Pokoknya aplikasinya BURUK. Programmer nya perlu belajar lagi sama anak SMK, biar lebih pinter dikit;1;Google Play Store;;Negatif
campuran “Ndian” 51;24/07/2025 04:05;Good;5;Google Play Store;;Netral
Muhammad Arpan;23/07/2025 18:01;wajib beli khususnya pelaut;5;Google Play Store;;Netral
TABURA BAKAU;23/07/2025 16:24;Starlink Terbaikku,..🙏;5;Google Play Store;;Positif
Sukria Sukria;23/07/2025 13:26;mantap;5;Google Play Store;;Netral
Resky Saleh;23/07/2025 12:04;update terbaru kalau 2 admin cmn bisa satu aja yg bisa tahan jaringan. ayolah saya kerja 2 shift trus di shift saya,saya tidak bisa tahan jringan;4;Google Play Store;;Positif
Hafriansyah Melawi;23/07/2025 06:56;tolong kode verivikasi ga bisa masuk ke nomor saya;5;Google Play Store;;Netral
Musrin Wtrb;23/07/2025 01:00;sangat membantu dalam memenuhi kebutuhan masyarakat dalam bidang internet;5;Google Play Store;;Positif
Igna Cipto;23/07/2025 00:19;Thanks Amerika 💓 Sudah banyak membantu Indonesia!;5;Google Play Store;;Positif
Arsyla Putri;22/07/2025 14:07;good;5;Google Play Store;;Netral
YUNUS ROMBE;22/07/2025 11:18;Jaringan Internet cepat, luar biasa. Mantap.;5;Google Play Store;;Netral
takbir;19/07/2025 15:06;mantap;5;Google Play Store;;Netral
Saul Endri;19/07/2025 11:41;The Best;5;Google Play Store;;Netral
M. Ichvan R. Silim;18/07/2025 14:31;terbaik;5;Google Play Store;;Positif
Yopi Andinata;18/07/2025 05:48;good;5;Google Play Store;;Netral
Ubang njau Njau;16/07/2025 14:08;mantap👍;5;Google Play Store;;Netral
Muhammad Shiddiq;16/07/2025 12:59;apa penyebab data starlink sering hilang2;5;Google Play Store;;Netral
Arlen Mario Demny;15/07/2025 12:25;sangat memuaskan;5;Google Play Store;;Positif
dede harry surachman;15/07/2025 08:25;starlink is the best no.1 in the word very super quick mbps..;5;Google Play Store;;Positif
Muhammad Aswar;15/07/2025 00:57;sangat membantu pada saat di tengah laut;5;Google Play Store;;Positif
REGEDIT;14/07/2025 23:09;SpaceX Starlink Sekarang makin mantap, Saya pengguna Kit Starlink Baru 5 bulan, Dan sekarang Speed Mencapai 1Gbps di daerah saya, Mantap Starlink 👍 Semoga tetap konsisten.;5;Google Play Store;;Netral
Beni Chusnur rofiq;14/07/2025 04:02;performa bagus meskipun di daerah pedalaman,;5;Google Play Store;;Positif
Yolmajaya Yolma;14/07/2025 02:01;ok;5;Google Play Store;;Netral
Fito Matara;13/07/2025 04:47;verry good;5;Google Play Store;;Netral
ozil naga;12/07/2025 10:19;mantap;5;Google Play Store;;Netral
LIBRA 89;12/07/2025 03:35;bagus banget buat online di gunung,, nice,, terima kasih starlink;5;Google Play Store;;Positif
SYARIF UDDIN;11/07/2025 20:17;sangat cocok;5;Google Play Store;;Positif
Riksan Nuru;11/07/2025 14:58;Tolong dari pihak Starlink solusinya bagaimana sehingga Starlink bisa normal kembali. karna ada Pembatasan dari pihak KOMDIGI;1;Google Play Store;;Negatif
Todingan Toding;11/07/2025 11:45;saya puas dengan pelayanan;5;Google Play Store;;Netral
Wuri Handoyo;11/07/2025 10:22;mantap luarbiasa;5;Google Play Store;;Negatif
Indra;11/07/2025 00:32;baik;5;Google Play Store;;Positif
Joksui Joksui;10/07/2025 15:56;sangat baik;5;Google Play Store;;Positif
doo martinus;10/07/2025 06:45;Ok. Terbaik.;5;Google Play Store;;Positif
carison musta;09/07/2025 21:55;sangat bermanfaat untuk daerah 3T;5;Google Play Store;;Positif
Melda Maulida;09/07/2025 12:49;dood;5;Google Play Store;;Netral
ZULKIFLI;09/07/2025 02:25;Masalah Pembayaran agar diberi opsi pembayaran lewat transfer bank atau e-commerce. Ini supaya mempermudah. Karena opsi sekarang dgn Kartu Debit atau Kartu Debit ini kadangkala gagal autentikasi / verifikasi dari Bank-nya. Akhirnya jadi kesulitan membayar tagihan.;2;Google Play Store;;Negatif
Vincent Billy;08/07/2025 17:57;Best Performance Best Quality;5;Google Play Store;;Netral
Muhamad nuzul Nuzul;08/07/2025 09:47;mantap, bangat;5;Google Play Store;;Netral
SYAHARUDDIN PELAUT;07/07/2025 11:46;gmn cara untuk mengubah bahasanya distarlink;5;Google Play Store;;Negatif
E Subandriyo;07/07/2025 04:53;top markotop...;5;Google Play Store;;Positif
Ikhsan Walidi;06/07/2025 10:04;kerennn;5;Google Play Store;;Netral
Selviaputry Dumbela;06/07/2025 07:38;jaringan bagus,dan selama menggunakan belum mengalami kendala.csnya cepat tanggap dalam mengatasi kendala ketika di hubungi. Semoga tetap seperti ini atau bahkan lebih di tingkatkan lagi;5;Google Play Store;;Positif
Ayah bagas;05/07/2025 17:50;kecepatan tetep stabil meski hujan badai;5;Google Play Store;;Positif
Afriyan Riyan;05/07/2025 11:21;starlink memang bagus jaringan nya, saya merasa puas dengan layanan starling;5;Google Play Store;;Positif
Uwardi Di Rahar;05/07/2025 06:37;top;5;Google Play Store;;Positif
Calon sukses;05/07/2025 01:52;mantap;5;Google Play Store;;Netral
khamim tohari;04/07/2025 18:17;tingkatkan;5;Google Play Store;;Netral
Marta Amara;04/07/2025 15:43;semenjak sy sudah menggunakan starlink ini hampir 1 tahun sangat bermanfaat sekali, bisa internet an sepuasnya walaupun pn digunung masih bisa internet an asalkan ada jaringan listrik nya.;5;Google Play Store;;Positif
Ali Khan;04/07/2025 08:33;jooooossssss;5;Google Play Store;;Netral
Mesak Ditiolebit;04/07/2025 05:41;bagaimana aktifkan kembali Starlin yg jaringan hilang;5;Google Play Store;;Positif
SARTIA KALEDUPA;04/07/2025 00:53;sangat baik;5;Google Play Store;;Positif
Yohanis Yatam;03/07/2025 13:08;tolong di bantu daftarkan akun email saya di aplikasi Starlink, agar saya login masuk aplikasi untuk seting Wifi Starlink saya yg Sdh lama di pasang namun tdk aktif dalam pencarian status jaringan WiFi di perangkat Android/PC.;2;Google Play Store;;Positif
Muhamad Sofan;03/07/2025 04:12;sangat rekomoded;5;Google Play Store;;Netral
mizan abay;03/07/2025 01:20;sungguh sangat membantu aplikasi ini tapi tulisannya masih dalam bentuk bahasa inggris sehingga saya tidak menterjemahkan;5;Google Play Store;;Negatif
Jimmy Woeianto;02/07/2025 13:33;daftar susah sekali;1;Google Play Store;;Netral
Kartini hi Manan;02/07/2025 11:54;sangat memuaskan;5;Google Play Store;;Positif
Edu Mengkudu2;02/07/2025 10:14;nice;5;Google Play Store;;Netral
Jumiyanti Dasfordate;02/07/2025 09:23;Terbaik;5;Google Play Store;;Positif
Mintro Y. Lawan;02/07/2025 06:55;good;5;Google Play Store;;Netral
Arifal paliwang;02/07/2025 00:24;good;5;Google Play Store;;Netral
Ahmad Sofyan;01/07/2025 20:51;awal nya susah setting karena kurang nya informasi pemasangan. tetapi bertanya sana sini, ternyata gampang. paket2 nya juga sekarang lebih flexible. cocok buat yang di daerah Kabupaten atau pinggiran kota kecil.;5;Google Play Store;;Netral
Joselau Ruslie;01/07/2025 14:08;good app;5;Google Play Store;;Netral
Winardi Idsr;01/07/2025 04:07;Cocok untuk lokasi yang tidak terjangkau oleh jaringan selular, jaringan kabel, jaringan fo, maupun jaringan radio 2,4 ghz atau 5 ghz yang kacau. Saya sudah menggunakan starlink dengan paket residen selama 6 bulan sampai saat ini dan itu sudah cukup untuk penggunaan sehari-hari dengan beberapa perangkat. Kendala koneksi biasanya akan terjadi saat hujan lebat, tetapi starlink mempunyai waktu pemulihan yang bagus. Posis antena harus bebas penghalang supaya mendapatkan sinyal yang bagus.;5;Google Play Store;;Positif
Titus;30/06/2025 11:49;Sangat bagus;5;Google Play Store;;Positif
Reygen Gaghansa;29/06/2025 14:16;💯👍;5;Google Play Store;;Netral
Afrinal S.Hut;29/06/2025 10:20;mantap;5;Google Play Store;;Netral
Arros Tandi Lintin;29/06/2025 08:20;aplikasi suda bagus tetapi kadang out sendiri saat di gunakan;5;Google Play Store;;Positif
Piece Jensei;28/06/2025 09:47;optimal;4;Google Play Store;;Positif
Rachmad Kartolo;28/06/2025 03:23;keren;5;Google Play Store;;Netral
Budijam_ Channel;27/06/2025 10:55;Mantap;5;Google Play Store;;Netral
Dasum Dasum;27/06/2025 08:36;dengan starlink kami di pelosok Kalimantan dapat menikmati jaringan internet dan terhubung dengan dunia;5;Google Play Store;;Positif
Herman Syah;26/06/2025 14:28;jaringannya bagus untuk kami yg di desa terpencil;5;Google Play Store;;Positif
Ya2t Laiha;26/06/2025 13:01;mantap;5;Google Play Store;;Netral
rivaldoeko Gakueko;26/06/2025 06:21;bagus aplikasinya..;5;Google Play Store;;Positif
wiliam sauru;26/06/2025 02:32;janringan ini sangat cepat dan sangat bagus. terimakasih;5;Google Play Store;;Positif
Chris Vanto;25/06/2025 06:50;Sangat baik👍;5;Google Play Store;;Positif
Joko Sudiro;25/06/2025 03:18;bagus;5;Google Play Store;;Positif
Garda TV;24/06/2025 05:49;Mantap banget..mudah pasangnya;5;Google Play Store;;Positif
tyson lawolo;24/06/2025 04:27;keren;5;Google Play Store;;Netral
gani abdul;23/06/2025 16:54;ok;5;Google Play Store;;Netral
Anchu Asnha;23/06/2025 16:23;bagus sekali jaringan nya🤩🤩🤩;5;Google Play Store;;Positif
pardomuan hutasuhut;23/06/2025 14:04;Starlink memang ok mantap betul;5;Google Play Store;;Netral
Roney Maku;23/06/2025 07:01;mantap;4;Google Play Store;;Netral
M Nr;22/06/2025 09:17;sangat membantu;5;Google Play Store;;Positif
Widya Permata sari;22/06/2025 01:26;mantap👍👍👍👍;5;Google Play Store;;Netral
syahroni syahroni;21/06/2025 10:26;mantap;5;Google Play Store;;Netral
Fauzi Rifdu;20/06/2025 11:39;mantap;5;Google Play Store;;Netral
LOKA TUA;20/06/2025 00:57;user friendly;5;Google Play Store;;Netral
Sahri Sahrigem;19/06/2025 17:41;keren sangat membantu;5;Google Play Store;;Positif
Patrick Ruamba (Patrick);19/06/2025 14:46;Terjangkau sampai pelosok Pegunungan Papua 👍;5;Google Play Store;;Negatif
Andhi Wijaya;19/06/2025 12:19;sangat puas memakai jaringan ini,semoga tambah berkembang kedepannya;5;Google Play Store;;Positif
Ardana braja888 Ardana braja;19/06/2025 05:46;oke;5;Google Play Store;;Netral
Andi Ilham;19/06/2025 01:49;makasih Starlink SDH menjangkau pedalaman papua;5;Google Play Store;;Negatif
Lina Susanti;18/06/2025 23:09;alhamdulillah stlah pakai starlink sinyalnya bagus, bisa utk apa aj, trimakasih starlink, ok mantap;5;Google Play Store;;Positif
tika rumaday;18/06/2025 11:19;sangat membatu;5;Google Play Store;;Negatif
Iskandar Agung;18/06/2025 01:43;mantap;5;Google Play Store;;Netral
Roni Berotabui [#PVM] Film Making CC;17/06/2025 14:22;Terbaik dan The Best;5;Google Play Store;;Positif
Semuel kadek Kadek;17/06/2025 14:05;wifi terbaik Yang pernah ku temui;5;Google Play Store;;Positif
siprianus herman;17/06/2025 07:08;Sangat membantu dalam menjalankan aplikasu;5;Google Play Store;;Positif
misael k.w;16/06/2025 22:30;the best 👍;5;Google Play Store;;Netral
Andrijaya;16/06/2025 13:43;layanan starlink buruk di awal beli iya enak nyaman eh ketika rusak ada gangguan bales nya 1 minggu sekali Dan konsumen komplen kesan nya menghindar seperti yg saya alami saat ini..beli mahal2 pelayanan parah kesan nya ngemis2 layanan;1;Google Play Store;;Negatif
Umar Arkatama;16/06/2025 05:01;sangat bagus👍;5;Google Play Store;;Positif
Starlink Pasbon;16/06/2025 04:27;bisa kah starlink ini di perbaiki, akses internet perangkat setelah di jeda tidak bisa di sambungkan lagi, saya sangat kecewa sudah beberapa hari ini saya tidak bisa kontrol perangkat yang sudah terhubung;2;Google Play Store;;Netral
yulan tuara;15/06/2025 13:08;bagus;5;Google Play Store;;Positif
abu qonita;14/06/2025 22:34;update applikasi sekarang, bukan tambah baik bahkan tambah menurun,, versi yg terdahulu , kita bisa kontrol dan pantau router/antena dari luar jaringan starlink. sekrg malah wajib tersambung ke jaringan baru bisa aplikasi digunakan.. berbeda sekalai dgn aplikasi my telkomsel untuk indihome atau myoxigen.;1;Google Play Store;;Netral
Amdal 1990;14/06/2025 16:10;strlink sangat membantu bagi kami masyrakt yg tertinggal jringan.. makasih strlink;5;Google Play Store;;Positif
Satria Wamena;14/06/2025 08:08;mantap pulll;5;Google Play Store;;Netral
Noch Sairdekut;13/06/2025 22:48;sangat bermanfaat dan dapat me. permudah, jaringan juga bagus tidak lelet;5;Google Play Store;;Positif
Buchek Latumeten;13/06/2025 14:27;tdk bisa mengganti nama karna tdk bisa muncul kybordnya, di hp samsung A54 5G;3;Google Play Store;;Negatif
805 Apri;13/06/2025 13:04;sangat lancar internetnya;5;Google Play Store;;Netral
Novia_sine Novia;13/06/2025 11:33;jaringan starlink sangat bagus dan sangat membantu terutama dalam mengakses sangat cepat bagi kami memerlukan jaringan cepat sehingga kami dapat mengakses segala informasi dengan mudah, tidak harus menungguh lama, terutama kami di daerah yang jaringannya kurang bagus ,terima kasih telah membantu kami dengan menyediakan jaringan yang cepat,, pelayanan sangat menyenangkan ,semoga starlingk semakin jaya dan semakin bertambah kuat dapat menjangkau seluruh wilayah yang tidak di jangkau oleh jaringan;5;Google Play Store;;Positif
wilhelmus Wea;11/06/2025 01:49;bagus;5;Google Play Store;;Positif
CAMP FISHING SULTRA;10/06/2025 04:13;baik pelayanan respon cepat;5;Google Play Store;;Positif
Feri Tis;08/06/2025 10:54;setelah update, yang dijeda tidak dapat terhubung kembali untuk mengakses internet, saya harap bug nya cepat di atasi, saya rasa ini masalah pada aplikasinya....;2;Google Play Store;;Negatif
Muhammad yadi Daha (Yadi);08/06/2025 02:31;Mantappp dan gampang pokoknya Oky aplikasi Starlink nya bos qU, semuga kedapan nya makin Oky dan makin murah bayar nya, serta makin lancar lagi jaringan Starlink nya bos qU;5;Google Play Store;;Netral
ramadan zz;07/06/2025 02:03;mantap;5;Google Play Store;;Netral
Andri Arifin;06/06/2025 18:20;sangat memuaskan;5;Google Play Store;;Positif
Aldyan Tangke;06/06/2025 10:53;tolong kasih murah bulannya pak ellon;5;Google Play Store;;Negatif
Muhammad daynuri Saputra;06/06/2025 06:26;good;5;Google Play Store;;Netral
Aimin Embisa;06/06/2025 03:41;Sekarang paket bisnis dimurahin tapi dibikin lemot ancur, kalau mau agak cepat harus beli bandwit lagi. Parah.;1;Google Play Store;;Negatif
Basnovat Official;05/06/2025 19:04;Sangat membantu kami di daerah terisolasi laut semoga kedepan harga smakin murah....;5;Google Play Store;;Negatif
Yanti anti Anti;05/06/2025 13:22;mantap;5;Google Play Store;;Netral
Vicku Rao;05/06/2025 11:39;waohhhh..... excellent;5;Google Play Store;;Netral
Febriyanto Hamid;05/06/2025 09:03;sangat baik;5;Google Play Store;;Positif
Namuca Putra;04/06/2025 14:53;sangat membantu;5;Google Play Store;;Positif
Riki Rikardo;04/06/2025 13:53;bagusan;5;Google Play Store;;Positif
Naufal Ibrahim;04/06/2025 09:26;terbantu,,;5;Google Play Store;;Netral
PLTD Lemukutan;04/06/2025 09:20;brapa hari ini stalink intenetnya lelet;3;Google Play Store;;Netral
jetri ermayo;04/06/2025 07:10;segini sdh cukup.. jgn byk di update ya;5;Google Play Store;;Netral
Hari Purwa;04/06/2025 03:30;lancar jaya;5;Google Play Store;;Netral
filmon tansi;03/06/2025 16:14;Mengapa tombol pause tidak bis di aktifkan...;2;Google Play Store;;Negatif
fix day;02/06/2025 16:47;awesome;5;Google Play Store;;Netral
Wahyudin Wahyudin;02/06/2025 15:12;ok sih,. tambah mantap kalau bisa ganti2 paket tiap bulan. ini klo naikin paket bisa, tp mau balik lagi / turun gk bisa.;4;Google Play Store;;Negatif
Alamsyah Rasyid;02/06/2025 11:02;Mantap;5;Google Play Store;;Netral
Teknik Eko;02/06/2025 10:00;mudah mudahan pembayaran kedepannya di permudah;5;Google Play Store;;Positif
mordy ilham;02/06/2025 09:48;menyesal saya beli, internet sering diskonek, ping tinggi, pas di pakek kayak jaringan 2g;1;Google Play Store;;Positif
Kristolik Pky;02/06/2025 07:22;sangat membantu kami yang akses jaringan internet masih lemah...;5;Google Play Store;;Netral
Alfandgαming 06;01/06/2025 15:13;bagus;5;Google Play Store;;Positif
Indra;01/06/2025 12:48;lebih di tingkat kan keamana nya, dari login tanpa admin saja kita bisa mereset modem nya,;4;Google Play Store;;Negatif
Felix Smart;01/06/2025 12:33;baik;5;Google Play Store;;Positif
chaly 4265;01/06/2025 11:41;mantap;5;Google Play Store;;Netral
Mulyadi Mulyadi;31/05/2025 19:13;sangat baik utk browsing..;5;Google Play Store;;Positif
BUBO;31/05/2025 11:54;Nggak bisa pakai bahasa INDO kah?;5;Google Play Store;;Netral
Muhammad Ismail Maswatu;30/05/2025 07:24;aplikasi nya bagus 👍;4;Google Play Store;;Positif
John Fajar;30/05/2025 00:56;mohon perbaiki proses login yg kadang gagal padahal sudah benar , lalu tambahin dong metode pembayara brimo kalo bisa minn😵;5;Google Play Store;;Positif
Syhrl Sp;29/05/2025 13:47;mantap;5;Google Play Store;;Netral
Herdyanto Afriliana;29/05/2025 12:49;tolong bantu saya pemula;5;Google Play Store;;Netral
Fransina Yuni;29/05/2025 12:24;terima kasih starling sudah membantu jarigan kami orang perdalaman.semoga kedepannya starling semakin cangih dan moderen.TYM🙏😁♥️;5;Google Play Store;;Positif
Silfa Borang;29/05/2025 09:56;sangat baik;5;Google Play Store;;Positif
Hasri Ali;29/05/2025 08:40;good;5;Google Play Store;;Netral
sawal uhaidao;28/05/2025 07:55;Starlink jawaban atas Ketertinggalan jaringan² atau penyedia ISP di daerah terpencil/pelosok;5;Google Play Store;;Negatif
Pria Didi;27/05/2025 23:56;bagus;5;Google Play Store;;Positif
Irfan Tika;27/05/2025 14:48;👍;5;Google Play Store;;Netral
Rajib Sport;27/05/2025 11:32;mantabbbb keren beken;5;Google Play Store;;Positif
NURDIN NUY;26/05/2025 17:32;3T ( blank spot) alhamdulillah adanya sl jadi tertolong;5;Google Play Store;;Positif
Ambran Hukom;26/05/2025 06:05;Sangat Terbantu, Pemasangan Sangat Mudah, masalah nya Soal Pembayaran, Saran saya, klo bisa Mudahkan Cara Pemesanan dan Pembayaran nya..;5;Google Play Store;;Netral
Imana Rasita;25/05/2025 17:45;mantap;5;Google Play Store;;Netral
amir channel;25/05/2025 08:47;cukup lumayan,, hanya you tube kadang jringannya jelek;5;Google Play Store;;Positif
sy NL24;25/05/2025 07:33;mantap;5;Google Play Store;;Netral
Subhani;25/05/2025 02:26;tergantung peletakan posisi..kalau pas mantaapp;5;Google Play Store;;Negatif
vuga tana;24/05/2025 17:46;Min mohon solusinya dong, Harini baru beli Starlink setelah saya aktivasi. Tetiba gak sadar kalo email yg saya daftar berbeda sala satu huruf di Gmail saya, sementara Starlink sudah dapat saya gunakan tetapi tidak bisa login ke aplikasi di karenakan saya salah daftar akun, ternyata akun itu adalah akun orang yg tidak kenal ,apa saya bisa Menganti email semula, mohon solusinya donk ini pembelian Starlink ke 3 kalimya;5;Google Play Store;;Negatif
CV INDUSTRIAL;24/05/2025 11:18;sangat membantu;5;Google Play Store;;Positif
Yus M Oratmangun;24/05/2025 10:26;Sangat membantu;5;Google Play Store;;Positif
Arisrisaris Arisrisaris;23/05/2025 19:55;good👍 like;5;Google Play Store;;Netral
Ika Idul;23/05/2025 12:02;sangat memuaskan;5;Google Play Store;;Positif
choco dizzel;23/05/2025 10:54;sangat terbantu untuk daerah blank spot 👍🏿;5;Google Play Store;;Netral
Piter Ju;22/05/2025 12:27;the best;5;Google Play Store;;Netral
Utara Sejati;22/05/2025 05:31;Sangat bagus untuk kami yang berada di pedalaman, sangat membantu.;5;Google Play Store;;Positif
Supriadi BASKARA;21/05/2025 11:43;mantap;5;Google Play Store;;Netral
Yudha Prasetia Anggara;19/05/2025 09:43;luar biasa cepat 🚀 starlink paket 750k;5;Google Play Store;;Negatif
DesaAdm25_ Arewang;18/05/2025 22:34;sangat bagus;5;Google Play Store;;Positif
Kecap Tumpah;18/05/2025 12:35;cukup bagus untuk wilayah yang tidak ada signal.;5;Google Play Store;;Negatif
Dua12 Dum;18/05/2025 02:48;ok;5;Google Play Store;;Netral
Pujiastuti Tuti;17/05/2025 03:23;makasih;5;Google Play Store;;Negatif
Agusman Waruwu;17/05/2025 02:45;mantap, manfaatnya sangat bermanfaat;5;Google Play Store;;Positif
Steven Tonglo;16/05/2025 13:18;terus tingkatkan layanan internet yg cepat dan nyaman;5;Google Play Store;;Positif
Farel Fatir;16/05/2025 11:03;the beast;5;Google Play Store;;Netral
Weli Siswanto;16/05/2025 03:42;sangat membantu;5;Google Play Store;;Positif
REZA REFLEX;16/05/2025 02:27;mantap;5;Google Play Store;;Netral
Clarissa Namsa;16/05/2025 01:58;sangat cocok untuk kami di pedesaan;5;Google Play Store;;Positif
The ShadoW;15/05/2025 09:28;Nice;5;Google Play Store;;Netral
Riri Asi;15/05/2025 06:49;mantap;5;Google Play Store;;Netral
Nila br munthe;14/05/2025 15:25;mantap;5;Google Play Store;;Netral
Brakitirancari Farms;14/05/2025 10:25;bgus untuk smuanya;5;Google Play Store;;Netral
Kamir Nawang;13/05/2025 21:40;Alhamdulillah.. Bagus;5;Google Play Store;;Positif
Ayahe Handza;13/05/2025 14:37;Starlink mantap gak rugi kami beli mahal sepadan dengan manfaatnya;5;Google Play Store;;Positif
Hanafi Fani;13/05/2025 10:29;ok;5;Google Play Store;;Netral
Jirlandjbx;12/05/2025 23:45;Baik;5;Google Play Store;;Positif
Gibran Revi;12/05/2025 18:05;the best for network;5;Google Play Store;;Netral
Tio Prastio;12/05/2025 10:06;best;5;Google Play Store;;Netral
Davit Gaitedy;12/05/2025 05:37;sangat bagus;5;Google Play Store;;Positif
Jaguar Black;11/05/2025 21:21;semakin simpel jaringanx gas full...;5;Google Play Store;;Netral
Nyusri Derlauw;11/05/2025 12:38;bagus;5;Google Play Store;;Positif
Johnly S Rarung;10/05/2025 22:50;bagus;5;Google Play Store;;Positif
Astika Waafni;10/05/2025 15:11;good;5;Google Play Store;;Netral
Aulia Rahmatillah;10/05/2025 14:03;mantap;5;Google Play Store;;Netral
Con Bass;09/05/2025 10:07;stabil koneksinya dalam cuaca apa pun.. mantap starlink👍;5;Google Play Store;;Positif
Muhidinn Aja;09/05/2025 03:38;mantap;5;Google Play Store;;Netral
Adun Cs;08/05/2025 13:27;sangat2 mantap;5;Google Play Store;;Netral
Siti Fanny Nur Maulidya;08/05/2025 12:51;starlink memang mantab;5;Google Play Store;;Positif
Paskalia julan Paskalia;08/05/2025 06:08;Starlink sangat cocok utk daerah susah sinyal;5;Google Play Store;;Positif
NANDO M Buti;08/05/2025 04:27;sangat baik tapi belum pernah coba;5;Google Play Store;;Positif
Andri Yanto;08/05/2025 02:24;mantap;5;Google Play Store;;Netral
irfandi;07/05/2025 07:12;good;5;Google Play Store;;Netral
Rikar tote R94;06/05/2025 21:23;Good;5;Google Play Store;;Netral
Frdy Vrrman;06/05/2025 13:49;latensi nya akhir akhir ini jelek bet. wilayah Indonesia timur;1;Google Play Store;;Negatif
Erliyanti Tomagola;04/05/2025 16:23;sangat bermanfaat;5;Google Play Store;;Positif
orca orca;04/05/2025 13:01;baik;5;Google Play Store;;Positif
Firman Aqsha Baso;04/05/2025 07:43;Starlink membantu jaringan internet walaupun d tengah lautan;5;Google Play Store;;Positif
ZULKIFLI M ABBAS OFFICIAL;04/05/2025 03:11;jika hujan jd lalod;3;Google Play Store;;Netral
BANG UNCUY;03/05/2025 14:32;good;5;Google Play Store;;Netral
Rohadi;03/05/2025 01:57;Alhamdulillah jaringan Oke banget;5;Google Play Store;;Positif
Abdul Gani;03/05/2025 01:41;baiikk;5;Google Play Store;;Netral
Ronald Syarif;02/05/2025 16:27;good;5;Google Play Store;;Netral
Budi Pandara;02/05/2025 00:54;luar biasa jaringan nya, terimakasih.;5;Google Play Store;;Negatif
dr. Bobby Marcos F. Kandami;01/05/2025 13:56;Terbaik dimana pun dan kapan pun 😁👍👍;5;Google Play Store;;Positif
Suria Wati;01/05/2025 05:29;lancar jaya;5;Google Play Store;;Netral
kurniawan gaul;01/05/2025 03:13;best;5;Google Play Store;;Netral
Yokbet Tarkuo;01/05/2025 03:01;terbaik;5;Google Play Store;;Positif
Saha Hasala;30/04/2025 07:37;mantap;4;Google Play Store;;Netral
heny midrasmasoara;30/04/2025 07:09;jaringan STARLINK mantap 👍;5;Google Play Store;;Positif
Donal Sihombing;29/04/2025 13:44;ini aplikasi kenapa tidak bisa dilanjutkan setelah dilakukan jeda keperangkat wifi hp . ini sangat tidak membantu setelah diabdute;1;Google Play Store;;Netral
DEMSLY WAWOINTANA;29/04/2025 13:24;aplikasinya mudah di gunakan;5;Google Play Store;;Positif
Dedi Misade;29/04/2025 11:27;sangat cepat;5;Google Play Store;;Positif
Ahmad Sarif;29/04/2025 05:10;Sangat puas...... Mantap.....;5;Google Play Store;;Netral
pare manto;29/04/2025 02:55;baik;5;Google Play Store;;Positif
Bima Yoga;28/04/2025 16:15;mantap;5;Google Play Store;;Netral
Ardi Vcd;28/04/2025 12:04;sangat bagus bisa membantu utk area pegunungan yg susah signal internet;5;Google Play Store;;Positif
Rusli li;27/04/2025 02:06;sangat membantu;5;Google Play Store;;Positif
muhammad syahrir;26/04/2025 20:20;mantap;5;Google Play Store;;Netral
Muhammad Arsyad;26/04/2025 15:01;Mantab;5;Google Play Store;;Positif
Adi Kiki Dimara;26/04/2025 13:43;Baru saja menikmati kecanggihan teknologi internet dari Starlink, walaupun jauh di dalam hutan tapi bisa internetan, muuuuaaaannntaaaap👍👍👍;5;Google Play Store;;Negatif
Paisal Rabuka;26/04/2025 11:25;power full;5;Google Play Store;;Netral
AS Creator'89;26/04/2025 05:13;keren;5;Google Play Store;;Netral
Lilyen Likchen;26/04/2025 03:36;urah dan puas;5;Google Play Store;;Netral
Argobi Edward;25/04/2025 22:27;kenapa sekarang tidak bisa lagi setting ssid dan password dari luar jaringan wifi starlink?;1;Google Play Store;;Netral
